13 resultados de 50 documentos (13 documentos relevantes)

ID                                              RELEVANCIA

3ad95140-7ed3-4801-a443-8ac261abeff3            R
e1417314-3750-451f-b52e-4406a93e1ac8            R
83a06ec9-9384-42d8-b456-106a71d2fefa            NR -> Tratar convulsões (Medicamento não é feito especificamente para acne)
a72ad0c5-bf4b-408c-9f08-70a6b40ca747            R
65fc4355-8895-48a2-8acd-12ec5de9b5e9            R
86d109e8-823b-466b-b80d-6d5f8ff1c1b9            R
30000149-154c-47dd-80cf-aeedc617a731            R
f65db405-1721-4b9d-865a-5140c3e86086            R
acb26648-5a9c-431a-b35c-3336792df5fb            R
c6702b1c-8514-4ce0-8673-4059c5d0ddb4            R
53220e14-f3ba-4faf-9744-53d6b530414b            R
cc2c70d9-7fbb-4ba7-a02a-bf7c42289a23            R
e8eb3473-b7f2-42a1-84bb-8a8a6f836a74            R -> Mas devia estar mais em baixo no ranking, porque ainda estão a ser feitos estudos
