13 resultados de 50 documentos (12 documentos relevantes)

ID                                              RELEVANCIA

b408cf8a-9194-422d-8fb4-d20fb2281597            R
0f0b8078-5695-4d29-b20b-4ece0c25726d            R
13a5602b-4c3a-4445-82bc-1f875070669e            R
a27246d3-e303-4308-ad14-0574d65c2102            R
f6a27df5-5041-4c46-b119-a5cc5b56a079            R
34f6afeb-1734-42c2-a6a7-17fab366d60e            R
6c239c85-e2e6-48f8-8a9c-43c4460d833d            R
502b8e9e-b7ac-468b-abf8-885c85405d34            R -> Mas devia estar mais em baixo no ranking, porque ainda estão a ser feitos estudos
a5ba87bf-1d32-46fd-bb2d-7ee5e3939146            R
980040e9-d724-4b20-9a78-55ddd4f7e78d            R
b66b5a39-5d72-453f-b3a1-dc87cd67aac8            R
262ef139-d22f-4b72-a538-72b35a15a137            NR -> Tratar convulsões (Medicamento não é feito especificamente para acne)
64db2034-fd4f-444d-ad21-fcbbaade1b7c            R
