13 resultados de 50 documentos (17 documentos relevantes)

ID                                              RELEVANCIA

045540bc-6717-47f0-88c2-ab2f2aab4ebf            NR -> Tratar HIV
e150527f-328e-4b7c-8354-4be28c6bc985            NR -> Estimula o sistema nervoso, mas não trata dores de cabeça e diarreia
685a1d55-849d-4718-ad9e-dc2d7fe8eaf3            R
0d05940c-dd37-4ae9-bb64-111355abdbe2            NR -> É um anti vírico para herpes
21fdb7ca-da60-462c-8e58-e49dff2ee23e            NR -> Tratar defice de atenção
e2002d84-489b-4f31-aa6e-8465712e7d19            R
7c49f416-b80b-438a-a27c-34ac57c03fed            R
9e151c03-c428-44f8-9eab-83d73dc0b144            NR -> Causa diarreia em vez de tratar (por exemplo, para fazer uma colonoscopia)
81856f04-bfaa-460d-be75-c6b9d5e375b6            NR -> Tratar problemas relacionados com a tiroide
36254737-9496-48c1-8c08-844f9a777c52            R
3ad9673c-4a77-4c7a-8119-7e091546d752            R
6f291b58-2d0e-4545-bc98-09d5d8a9628c            R
8da97e42-6b7f-4a55-9412-16cc9c47d1db            NR -> Reduce blood pressure
a0335b60-a56e-403c-b74c-7ce481b72e0e            R
e6f04cb6-e6e6-4504-9d3a-b084595171b2            R
d9ddee24-3aa2-4175-946f-49f7739b0446            NR -> To treat acne
fe24b7d7-ce83-4576-899f-7de28d221a9b            NR -> Tratar hiperatividade
2fa689d2-6ae1-4fea-a926-16ff7f921890            NR -> Tratar sintomas da menopausa
8f0f62b3-5643-470e-9756-2987b2ed4b74            NR -> Tratar doença de Crohn
80090683-11f6-4cc3-b688-235e61da445b            R
ff6d38dc-3b94-4335-a852-a7e37a1ed2ad            NR -> Pilula
13a5602b-4c3a-4445-82bc-1f875070669e            R
e4259df5-7dc8-4e66-8c6c-5ef2b4700fce            NR -> Prevenir Gravidez
978a60bf-f95b-46e8-a177-e55ed0b1fd54            NR -> Pilula
a27246d3-e303-4308-ad14-0574d65c2102            R
f6a27df5-5041-4c46-b119-a5cc5b56a079            R
34f6afeb-1734-42c2-a6a7-17fab366d60e            R
fd61b296-5a85-4253-8f8c-fb557fd1dd7b            R
f2d9b57d-7934-4e63-9d5e-2672a8a06c8d            R
ed4bb9b4-5661-4a4d-bf84-d98638f06b5b            NR -> Tratar epilepsia
6c239c85-e2e6-48f8-8a9c-43c4460d833d            NR -> Anti depressivo
502b8e9e-b7ac-468b-abf8-885c85405d34            NR -> Anti depressivo
32f9c1ad-45be-442f-9d32-6039803ce290            NR -> Tratar esquizofrenia e bipolaridade
0cdc4805-8f35-4f7b-8515-bdc10cbae3a7            R
